,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,season,H_ROUND,H_TP3,H_TP5,H_GS_H,H_GS_A,H_GR_H,H_GR_A,H_TGS,H_TGR,H_AvGS_H,H_AvGS_A,H_AvGR_H,H_AvGR_A,H_Av_TGS,H_Av_TGR,H_Pnt_H,H_Pnt_A,H_T_pnt,H_Av_Pnt_H,H_Av_pnt_A,H_Av_T_pnt,A_ROUND,A_TP3,A_TP5,Aw_GS_H,Aw_GS_A,Aw_GR_H,Aw_GR_A,Aw_TGS,Aw_TGR,Aw_AvGS_H,Aw_AvGS_A,Aw_AvGR_H,Aw_AvGR_A,Aw_Av_TGS,Aw_Av_TGR,Aw_Pnt_H,Aw_Pnt_A,Aw_T_pnt,Aw_Av_Pnt_H,Aw_Av_pnt_A,Aw_Av_T_pnt,DIFF_TP,DIFF_HP-AP,SUMM_HGSH+HGSH+AGRA,SUMM_HGRH+AGSA,SUMM_HTGS+ATGR,SUMM_HTGR+ATGS,DIFF_L3MP,DIFF_L5MP,DIFF_av_TP,DIFF_av_HP-AP,SUMM_av_HGSH+AGRA,SUMM_av_HGRH+AGSA,SUMM_av_HTGS+ATGR,SUMM_av_HTGR+ATGS,Goal/No_Goal,Over2.5/Under2.5,Over1.5/Under1.5
18,28/08/16,Las Palmas,Granada,5.0,1.0,H,2016/2017,2.0,3.0,3.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,4.0,0.0,2.0,4.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,1,1,1
19,28/08/16,Villarreal,Sevilla,0.0,0.0,D,2016/2017,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,6.0,0.0,4.0,0.0,6.0,4.0,6.0,0.0,4.0,0.0,6.0,4.0,3.0,0.0,3.0,3.0,0.0,3.0,-2.0,0.0,0.0,0.0,5.0,7.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,5.0,7.0,0,0,0
20,09/09/16,Sociedad,Espanol,1.0,1.0,D,2016/2017,3.0,3.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,1.5,0.0,3.0,3.0,0.0,3.0,1.5,3.0,1.0,1.0,2.0,4.0,2.0,6.0,6.0,8.0,2.0,4.0,2.0,6.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.5,2.0,0.0,6.0,7.0,10.0,9.0,2.0,2.0,1.0,0.0,6.0,7.0,5.0,4.5,1,0,1
21,10/09/16,Barcelona,Alaves,1.0,2.0,A,2016/2017,3.0,3.0,3.0,6.0,1.0,2.0,0.0,7.0,2.0,6.0,1.0,2.0,0.0,3.5,1.0,3.0,3.0,6.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,7.0,3.0,8.0,3.0,2.0,2.0,2.0,2.0,7.0,3.0,4.0,1.5,1,1,1
22,10/09/16,Celta,Ath Madrid,0.0,4.0,A,2016/2017,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,-2.0,-1.0,0.0,1.0,2.0,4.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,2.0,0,1,1
23,10/09/16,Malaga,Villarreal,0.0,2.0,A,2016/2017,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.5,1.5,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0,0,1
24,10/09/16,Real Madrid,Osasuna,5.0,2.0,H,2016/2017,3.0,3.0,3.0,2.0,3.0,1.0,0.0,5.0,1.0,2.0,3.0,1.0,0.0,2.5,0.5,3.0,3.0,6.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,0.5,1.5,0.0,1.0,1.0,0.0,1.0,0.5,5.0,2.0,3.0,2.0,8.0,2.0,3.0,3.0,2.5,2.0,3.0,2.0,4.0,1.0,1,1,1
25,10/09/16,Sevilla,Las Palmas,2.0,1.0,H,2016/2017,3.0,1.0,1.0,6.0,0.0,4.0,0.0,6.0,4.0,6.0,0.0,4.0,0.0,3.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,5.0,4.0,1.0,2.0,9.0,3.0,5.0,4.0,1.0,2.0,4.5,1.5,3.0,3.0,6.0,3.0,3.0,3.0,-2.0,0.0,8.0,8.0,9.0,13.0,-2.0,-2.0,-1.0,0.0,8.0,8.0,4.5,6.5,1,1,1
26,11/09/16,Granada,Eibar,1.0,2.0,A,2016/2017,3.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,6.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.5,3.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,1.5,-2.0,1.0,3.0,2.0,4.0,8.0,-3.0,-3.0,-1.0,1.0,3.0,2.0,2.0,4.0,1,1,1
27,11/09/16,La Coruna,Ath Bilbao,0.0,1.0,A,2016/2017,3.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.5,3.0,1.0,4.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,2.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,2.0,2.5,1.0,0,0,0
