,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,H_GS_H,H_GS_A,H_GR_H,H_GR_A,H_TGS,H_TGR,H_AvGS_H,H_AvGS_A,H_AvGR_H,H_AvGR_A,H_Av_TGS,H_Av_TGR,H_Pnt_H,H_Pnt_A,H_Av_Pnt_H,H_Av_pnt_A,H_T_pnt,H_Av_T_pnt,Aw_GS_H,Aw_GS_A,Aw_GR_H,Aw_GR_A,Aw_TGS,Aw_TGR,Aw_AvGS_H,Aw_AvGS_A,Aw_AvGR_H,Aw_AvGR_A,Aw_Av_TGS,Aw_Av_TGR,Aw_Pnt_H,Aw_Pnt_A,Aw_Av_Pnt_H,Aw_Av_pnt_A,Aw_T_pnt,Aw_Av_T_pnt
178,27/12/16,Liverpool,Stoke,4,1,H,2,1,H,M Oliver,21.0,20.0,6.0,14.0,3.0,2.0,0.857142857143,1.4,17.0,20.0,2.42857142857,2.0,41.0,20.0,2.41176470588,1.17647058824,37.0,2.17647058824,11.0,8.0,13.0,11.0,1.22222222222,1.0,1.44444444444,1.375,12.0,9.0,1.33333333333,1.125,19.0,24.0,1.11764705882,1.41176470588,21.0,1.23529411765
179,28/12/16,Southampton,Tottenham,1,4,A,1,1,D,M Dean,8.0,9.0,5.0,11.0,1.0,1.0,0.625,1.22222222222,15.0,9.0,1.875,1.0,17.0,16.0,1.0,0.941176470588,24.0,1.41176470588,19.0,10.0,5.0,7.0,2.11111111111,1.25,0.555555555556,0.875,23.0,10.0,2.55555555556,1.25,29.0,12.0,1.70588235294,0.705882352941,33.0,1.94117647059
180,30/12/16,Hull,Everton,2,2,D,1,1,D,J Moss,9.0,5.0,18.0,21.0,1.0,0.555555555556,2.0,2.33333333333,8.0,4.0,0.888888888889,0.444444444444,14.0,39.0,0.777777777778,2.16666666667,12.0,0.666666666667,12.0,11.0,7.0,14.0,1.33333333333,1.22222222222,0.777777777778,1.55555555556,16.0,10.0,1.77777777778,1.11111111111,23.0,21.0,1.27777777778,1.16666666667,26.0,1.44444444444
181,31/12/16,Burnley,Sunderland,4,1,H,1,0,H,G Scott,15.0,2.0,10.0,18.0,1.5,0.25,1.0,2.25,19.0,1.0,1.9,0.125,17.0,28.0,0.944444444444,1.55555555556,20.0,1.11111111111,11.0,5.0,15.0,16.0,1.22222222222,0.555555555556,1.66666666667,1.77777777778,10.0,4.0,1.11111111111,0.444444444444,16.0,31.0,0.888888888889,1.72222222222,14.0,0.777777777778
182,31/12/16,Chelsea,Stoke,4,2,H,1,0,H,R Madley,24.0,14.0,4.0,7.0,2.66666666667,1.55555555556,0.444444444444,0.777777777778,24.0,22.0,2.66666666667,2.44444444444,38.0,11.0,2.11111111111,0.611111111111,46.0,2.55555555556,11.0,9.0,13.0,15.0,1.22222222222,1.0,1.44444444444,1.66666666667,12.0,9.0,1.33333333333,1.0,20.0,28.0,1.11111111111,1.55555555556,21.0,1.16666666667
183,31/12/16,Leicester,West Ham,1,0,H,1,0,H,A Taylor,15.0,8.0,10.0,21.0,1.66666666667,0.888888888889,1.11111111111,2.33333333333,15.0,2.0,1.66666666667,0.222222222222,23.0,31.0,1.27777777778,1.72222222222,17.0,0.944444444444,9.0,14.0,14.0,18.0,1.0,1.55555555556,1.55555555556,2.0,14.0,8.0,1.55555555556,0.888888888889,23.0,32.0,1.27777777778,1.77777777778,22.0,1.22222222222
184,31/12/16,Liverpool,Man City,1,0,H,1,0,H,C Pawson,25.0,20.0,7.0,14.0,3.125,2.0,0.875,1.4,20.0,20.0,2.5,2.0,45.0,21.0,2.5,1.16666666667,40.0,2.22222222222,17.0,22.0,9.0,11.0,1.88888888889,2.44444444444,1.0,1.22222222222,18.0,21.0,2.0,2.33333333333,39.0,20.0,2.16666666667,1.11111111111,39.0,2.16666666667
185,31/12/16,Man United,Middlesbrough,2,1,H,0,0,D,L Mason,14.0,13.0,7.0,11.0,1.55555555556,1.44444444444,0.777777777778,1.22222222222,16.0,17.0,1.77777777778,1.88888888889,27.0,18.0,1.5,1.0,33.0,1.83333333333,9.0,7.0,10.0,10.0,1.0,0.777777777778,1.11111111111,1.11111111111,10.0,8.0,1.11111111111,0.888888888889,16.0,20.0,0.888888888889,1.11111111111,18.0,1.0
186,31/12/16,Southampton,West Brom,1,2,A,1,1,D,M Jones,9.0,9.0,9.0,11.0,1.0,1.0,1.0,1.22222222222,15.0,9.0,1.66666666667,1.0,18.0,20.0,1.0,1.11111111111,24.0,1.33333333333,16.0,7.0,13.0,9.0,1.77777777778,0.777777777778,1.44444444444,1.0,14.0,9.0,1.55555555556,1.0,23.0,22.0,1.27777777778,1.22222222222,23.0,1.27777777778
187,31/12/16,Swansea,Bournemouth,0,3,A,0,2,A,K Friend,14.0,7.0,20.0,21.0,1.55555555556,0.777777777778,2.22222222222,2.33333333333,8.0,4.0,0.888888888889,0.444444444444,21.0,41.0,1.16666666667,2.27777777778,12.0,0.666666666667,16.0,7.0,12.0,19.0,1.77777777778,0.777777777778,1.33333333333,2.11111111111,16.0,5.0,1.77777777778,0.555555555556,23.0,31.0,1.27777777778,1.72222222222,21.0,1.16666666667
